Id,Name,Developer,Publisher,Release date,Number Sold
1,Tetris,Elektronorgtechnica,Spectrum HoloByte,6-Jun-84,495000000
2,Minecraft,Mojang,Mojang,18-Nov-11,122000000
3,Wii Sports,Nintendo EAD,Nintendo,19-Nov-06,82810000
4,Grand Theft Auto V,Rockstar North,Rockstar Games,17-Sep-13,80000000
5,Super Mario Bros.,Nintendo R&D4,Nintendo,13-Sep-85,40240000
6,Mario Kart Wii,Nintendo EAD,Nintendo,10-Apr-08,36950000
7,Wii Sports Resort,Nintendo EAD,Nintendo,25-Jun-09,33040000
8,Pokemon Red Green and Blue,Game Freak,Nintendo,27-Feb-96,31380000
9,New Super Mario Bros.,Nintendo EAD,Nintendo,15-May-06,30800000
10,New Super Mario Bros. Wii,Nintendo EAD,Nintendo,11-Nov-09,30050000
11,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,11-Nov-11,30000000
12,Diablo III,Blizzard Entertainment,Blizzard Entertainment,15-May-12,30000000
13,Duck Hunt,Nintendo R&D1,Nintendo,21-Apr-84,28300000
14,Wii Play,Nintendo EAD,Nintendo,2-Dec-06,28020000
15,Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,26-Oct-04,27500000
16,Call of Duty: Modern Warfare 3,Infinity Ward,Activision,8-Nov-11,26500000
17,Call of Duty: Black Ops,Treyarch,Activision,9-Nov-10,26200000
18,Grand Theft Auto IV,Rockstar North,Rockstar Games,29-Apr-08,25000000
19,Call of Duty: Black Ops II,Treyarch,Activision,12-Nov-12,24200000
20,Kinect Adventures,Good Science Studio,Microsoft Studios,4-Nov-10,24000000
21,Nintendogs,Nintendo EAD,Nintendo,21-Apr-05,23960000
22,Mario Kart DS,Nintendo EAD,Nintendo,14-Nov-05,23600000
23,Pokemon Gold and Silver,Game Freak,Nintendo,21-Nov-99,23100000
24,Call of Duty: Modern Warfare 2,Infinity Ward,Activision,10-Nov-09,22700000
25,Wii Fit,Nintendo EAD,Nintendo,1-Dec-07,22670000
26,Wii Fit Plus,Nintendo EAD,Nintendo,1-Oct-09,21120000
27,Super Mario World,Nintendo EAD,Nintendo,21-Nov-90,20610000
28,Lemmings,DMA Design,Psygnosis,14-Feb-91,20000000
29,Terraria,Re-Logic,Re-Logic,16-May-11,20000000
30,Brain Age,Nintendo SPD,Nintendo,19-May-05,19010000
31,Call of Duty: Ghosts,Infinity Ward,Activision,5-Nov-13,19000000
32,Super Mario Land,Nintendo R&D1,Nintendo,21-Apr-89,18140000
33,Pokemon Diamond and Pearl,Game Freak,Pokemon,28-Sep-06,17670000
34,Grand Theft Auto: Vice City,Rockstar North,Rockstar Games,27-Oct-02,17500000
35,Super Mario Bros. 3,Nintendo R&D4,Nintendo,23-Oct-88,17280000
36,Pokemon Ruby and Sapphire,Game Freak,Pokemon,21-Nov-02,16220000
37,Pokemon X and Y,Game Freak,Pokemon,12-Oct-13,16150000
38,The Sims,Maxis,Electronic Arts,31-Jan-00,16000000
39,Need for Speed: Most Wanted,EA Black Box,Electronic Arts,11-Nov-05,16000000
40,Call of Duty 4: Modern Warfare,Infinity Ward,Activision,5-Nov-07,15700000
41,Call of Duty: World at War,Treyarch,Activision,11-Nov-08,15700000
42,Pokemon Sun and Moon,Game Freak,Pokemon,18-Nov-16,15670000
43,Pokemon Black and White,Game Freak,Pokemon,18-Sep-10,15640000
44,Mario Kart 7,Nintendo EAD,Nintendo,1-Dec-11,15570000
45,Sonic the Hedgehog,Sonic Team,Sega,23-Jun-91,15000000
46,Red Dead Redemption,Rockstar San Diego,Rockstar Games,18-May-10,15000000
47,Battlefield 3,EA DICE,Electronic Arts,25-Oct-11,15000000
48,Gran Turismo 3: A-Spec,Polyphony Digital,Sony Computer Entertainment,28-Apr-01,14890000
49,Brain Age 2,Nintendo SPD,Nintendo,29-Dec-05,14880000
50,Pokemon Yellow,Game Freak,Nintendo,12-Sep-98,14640000
